consorciado;numero requerimiento;fecha requerimiento;descripcion;tipo solicitud;sede;ubicacion;numero cotizacion consorcio;fecha cotizacion consorcio;numero cotizacion consorciado;fecha cotizacion consorciado;estado cotizacion;valor mano de obra;valor materiales;costo directo;administracion;imprevistos;utilidad;impuesto;total;valor facturado;valor pagado;numero factura;tipo acta;fecha acta;detalle acta;pago consorciado;numero factura consorciado;valor mano obra consorciado;valor materiales consorciado;costo directo consorciado;administracion consorciado;imprevistos consorciado;utilidad consorciado;impuesto consorciado;total consorciado;valor mano obra administracion;valor materiales administracion;costo directo administracion;administracion administracion;imprevistos administracion;utilidad administracion;impuesto administracion;total administracion
ANDINA S.A.;00000081;2009-04-13;"Cambio de seccionadores de media tensión";Proyecto;CERVECERIA DE BOYACA;Tibasosa;00000116-01;2009-10-27;CT-CIM-09-20 ;2009-10-27;Facturada total;1130000;5730000;6860000;0;0;0;1097600;7957600;7957600;7058940;252;Acta finalización;2009-10-27;;Si;252;801910;5082905;5884815;0;0;0;941570;6826385;200478;0;200478;0;0;0;32076;232554
INCOEL LTDA;00000274;2009-07-31;"Revisión de Alumbrado Publico";Servicio por demanda;TECHO;Bogotá;00000305-00;2009-10-27;OM09-395 ;;Pendiente;792500;1261900;2054400;0;0;0;328704;2383104;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000274;2009-07-31;"Revisión de Alumbrado Publico";Servicio por demanda;TECHO;Bogotá;00000306-00;2009-10-27;OM09-413;;Pendiente;508000;870800;1378800;0;0;0;220608;1599408;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000274;2009-07-31;"Revisión de Alumbrado Publico";Servicio por demanda;TECHO;Bogotá;00000307-00;2009-10-27;OM09-414;;Pendiente;62000;106800;168800;0;0;0;27008;195808;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000304;2009-08-06;"Instalación luminarias en cuarto de maquinas";Servicio por demanda;CERVECERIA AGUILA;Barranquilla;00000287-00;2009-10-27;ING-CC-016;2009-10-27;Facturada total;294500;770200;1064700;0;0;0;170352;1235052;1235052;0;255;Acta finalización;2009-10-27;;No;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000458;2009-10-19;"Circuito cerrado de televisión CD
";Proyecto;PASTO - CD;Pasto;00000456-00;2009-10-31;OM09-530;;Pendiente;6855950;16574133;23430083;0;0;0;3748813;27178896;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000459;2009-10-19;"Circuito cerrado de televisión CD
";Proyecto;PEREIRA - CD;Pereira;00000457-00;2009-10-31;OM09-533;;Pendiente;6591260;18299651;24890911;0;0;0;3982545;28873456;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000460;2009-10-19;"Adecuación iluminación Aleron Nave 5 CD
";Proyecto;PASTO - CD;Pasto;00000458-00;2009-11-03;OM09-536 ;2009-11-04;En ejecución;2530000;11857500;14387500;1582625;431625;719375;115100;16516850;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000461;2009-10-19;"Adedcuación de acometida sistema electrico Aleron Nave 5 CD
";Proyecto;PASTO - CD;Pasto;00000459-00;2009-11-03;OM09-537;;Pendiente;2137500;12997500;15135000;1664850;454050;756750;121080;17374980;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000456;2009-10-17;"Adecuación puesta a tierra azotea sala de máquinas
";Servicio por demanda;CERVECERIA AGUILA;Barranquilla;00000462-00;2009-11-03;ING-CC-057 ;2009-11-03;Facturada total;208000;11000;219000;0;0;0;35040;254040;254040;0;278;Acta finalización;2009-11-03;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000457;2009-10-17;"Mantenimiento eléctrico bodega 2 distribución
";Proyecto;CERVECERIA AGUILA;Barranquilla;00000463-00;2009-11-03;ING-CC-060;2009-11-03;Facturada total;535500;774800;1310300;0;0;0;209648;1519948;1519948;0;278;Acta finalización;2009-10-21;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000454;2009-10-16;"Mantenimiento eléctrico cuarto compresor GNC
";Servicio por demanda;CERVECERIA AGUILA;Barranquilla;00000454-00;2009-11-03;ING-CC-058 ;2009-11-03;Ejecutada;534300;408800;943100;0;0;0;150896;1093996;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000450;2009-10-16;"Adecuación de alumbrado perimetral exterior
";Proyecto;PEREIRA - CD;Pereira;00000450-00;2009-11-03;OM09-233 ;2009-11-03;En ejecución;4190490;22080250;26270740;2101659;262707;1313537;210165;28845271;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000451;2009-10-16;"Iluminacion Zona Verde Nuevo CD
";Proyecto;PEREIRA - CD;Pereira;00000379-00;2009-11-03;OM09-454;2009-11-03;En ejecución;2869700;16772500;19642200;1571376;196422;982110;157137;21567135;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
